time(s),x(m),y(m),z(m),vx(m/s),vy(m/s),vz(m/s),q0,q1,q2,q3,roll(rad),pitch(rad),yaw(rad)
1.5700,0.0000,0.0000,101.1415,0.0000,0.0000,70.5822,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5800,0.0000,0.0000,101.8456,0.0000,0.0000,70.3202,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5900,0.0000,0.0000,102.5470,0.0000,0.0000,70.0595,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6000,0.0000,0.0000,103.2459,0.0000,0.0000,69.8000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6100,0.0000,0.0000,103.9422,0.0000,0.0000,69.5417,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6200,0.0000,0.0000,104.6359,0.0000,0.0000,69.2846,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6300,0.0000,0.0000,105.3270,0.0000,0.0000,69.0287,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6400,0.0000,0.0000,106.0156,0.0000,0.0000,68.7740,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6500,0.0000,0.0000,106.7017,0.0000,0.0000,68.5204,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6600,0.0000,0.0000,107.3852,0.0000,0.0000,68.2680,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6700,0.0000,0.0000,108.0662,0.0000,0.0000,68.0167,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6800,0.0000,0.0000,108.7447,0.0000,0.0000,67.7666,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6900,0.0000,0.0000,109.4207,0.0000,0.0000,67.5176,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7000,0.0000,0.0000,110.0942,0.0000,0.0000,67.2697,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7100,0.0000,0.0000,110.7653,0.0000,0.0000,67.0229,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
